MSOA21CD,Medianage
E02002757,39
E02002758,37
E02002759,51
E02002760,45
E02002761,49
E02002762,42
E02002763,35
E02002764,34
E02002765,41
E02002766,42
E02002767,50
E02002768,49
E02002769,53
E02002770,49
E02002771,52
E02002772,45
E02002773,53
E02002774,51
E02002775,50
E02002776,45
E02002777,39
E02002778,46
E02002779,47
E02002780,33
E02002781,29
E02002782,48
E02002783,42
E02002784,31
E02002785,38
E02002786,24
E02002787,40
E02002788,38
E02002789,35
E02002790,29
E02002791,50
E02002792,42
E02002793,45
E02002794,20
E02002795,50
E02005742,53
E02005744,55
E02005746,48
E02005747,41
E02005748,49
E02005749,49
E02007041,55
E02005750,53
E02005751,56
E02005752,51
E02005754,55
E02005755,51
E02005756,46
E02005757,50
E02005758,45
E02005759,52
E02005760,49
E02007042,47
E02007043,43
E02005761,52
E02005762,44
E02005763,48
E02005764,47
E02005765,50
E02005766,53
E02005767,49
E02005768,36
E02005769,47
E02005770,46
E02005771,40
E02005772,52
E02005773,41
E02005774,43
E02005775,44
E02005776,45
E02005777,47
E02005778,52
E02005779,49
E02005780,47
E02005781,50
E02005782,54
E02005783,51
E02005784,45
E02005785,29
E02005786,56
E02005787,54
E02005788,54
E02005789,55
E02005790,52
E02005791,49
E02005794,52
E02007044,38
E02007045,49
E02005795,53
E02005796,54
E02005797,48
E02005798,56
E02005799,53
E02005800,45
E02005801,41
E02005802,38
E02005803,48
E02005804,52
E02005805,53
E02005806,36
E02005807,52
E02005808,57
E02005809,47
E02005810,46
E02005811,45
E02005812,39
E02005813,35
E02005814,46
E02005815,48
E02005816,47
E02005817,48
E02005818,46
E02001509,42
E02001510,42
E02001511,46
E02001512,44
E02001513,47
E02001514,37
E02001515,37
E02001516,38
E02001517,48
E02001518,42
E02001519,37
E02001520,47
E02001521,36
E02001522,39
E02001523,42
E02001524,53
E02001525,38
E02001526,36
E02001527,47
E02001528,43
E02001529,44
E02001530,37
E02001531,39
E02001532,44
E02001533,39
E02001534,39
E02001535,50
E02001536,46
E02001537,42
E02001538,44
E02001539,36
E02001540,42
E02001541,44
E02001542,40
E02001543,43
E02001544,41
E02001545,49
E02001546,43
E02001547,38
E02001548,35
E02001549,45
E02001550,40
E02001551,40
E02001552,38
E02001553,39
E02001554,46
E02001555,52
E02001556,38
E02001557,39
E02001558,53
E02001559,47
E02001560,33
E02001561,37
E02001562,43
E02001563,45
E02001564,49
E02001565,46
E02001566,35
E02001567,39
E02001568,38
E02001569,39
E02001570,41
E02001571,48
E02001572,38
E02001573,39
E02001574,47
E02001575,36
E02001576,40
E02001577,54
E02001578,38
E02001579,42
E02001580,45
E02001581,42
E02001582,42
E02001583,38
E02001584,50
E02001585,40
E02001586,47
E02001587,43
E02001588,38
E02001589,45
E02001590,34
E02001591,35
E02001592,45
E02001593,33
E02001594,32
E02001595,48
E02001596,48
E02001597,37
E02001598,44
E02001600,40
E02001602,43
E02001603,39
E02001604,35
E02001605,44
E02001606,43
E02001607,42
E02001608,42
E02001609,50
E02001610,46
E02007002,47
E02001611,46
E02001612,48
E02001613,46
E02001614,48
E02001615,52
E02001616,43
